颅顶点 x,颅顶点 y,颅顶点 z,第七颈椎 x,第七颈椎 y,第七颈椎 z,胸骨下点 x,胸骨下点 y,胸骨下点 z,脐点 x,脐点 y,脐点 z,耻骨 x,耻骨 y,耻骨 z,左肩峰 x,左肩峰 y,左肩峰 z,左肘 x,左肘 y,左肘 z,左腕 x,左腕 y,左腕 z,左中指尖 x,左中指尖 y,左中指尖 z,左髋 x,左髋 y,左髋 z,左膝 x,左膝 y,左膝 z,左踝 x,左踝 y,左踝 z,左足跟 x,左足跟 y,左足跟 z,左趾尖 x,左趾尖 y,左趾尖 z,右肩峰 x,右肩峰 y,右肩峰 z,右肘 x,右肘 y,右肘 z,右腕 x,右腕 y,右腕 z,右中指尖 x,右中指尖 y,右中指尖 z,右髋 x,右髋 y,右髋 z,右膝 x,右膝 y,右膝 z,右踝 x,右踝 y,右踝 z,右足跟 x,右足跟 y,右足跟 z,右趾尖 x,右趾尖 y,右趾尖 z,重心 x,重心 y,重心 z,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3263.0,1292.5,294.0,3301.0,1319.6,136.5,3213.9,1274.0,-60.1,3178.3,1246.5,-99.4,3274.4,1321.3,-91.5,0,0,0,0,0,0,0,0,0,0,0,0,3311.3,1225.3,306.0,3222.3,1189.1,98.6,3129.0,1124.1,-85.0,3068.0,1100.9,-107.8,3198.1,1190.4,-94.8,-421.0,-163.3,-88.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3269.5,1297.7,295.6,3303.5,1321.6,137.1,3228.6,1286.0,-57.3,3192.5,1257.9,-95.6,3288.8,1332.0,-86.9,0,0,0,0,0,0,0,0,0,0,0,0,3313.2,1227.0,306.4,3226.7,1192.4,99.0,3129.1,1123.9,-85.1,3068.2,1100.8,-107.5,3198.0,1190.5,-95.0,-421.0,-163.4,-88.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3274.6,1301.9,296.9,3305.5,1323.2,137.6,3243.1,1297.5,-54.2,3204.8,1267.4,-91.9,3303.8,1343.2,-81.1,0,0,0,0,0,0,0,0,0,0,0,0,3315.5,1228.9,306.9,3230.6,1195.4,99.5,3129.3,1123.7,-85.1,3068.5,1100.5,-107.0,3197.9,1190.5,-95.1,-420.9,-163.3,-88.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3278.1,1304.9,297.9,3307.3,1324.6,137.9,3257.2,1308.4,-50.9,3215.1,1275.2,-88.6,3318.9,1354.6,-74.3,0,0,0,0,0,0,0,0,0,0,0,0,3318.5,1231.5,307.6,3233.7,1197.9,100.0,3129.5,1123.6,-85.1,3069.0,1100.2,-106.5,3197.9,1190.6,-95.2,-420.7,-163.3,-88.5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280.3,1307.0,298.4,3309.1,1326.0,138.2,3270.2,1318.3,-47.6,3224.2,1281.8,-85.5,3333.9,1366.1,-67.0,0,0,0,0,0,0,0,0,0,0,0,0,3322.4,1234.8,308.4,3235.8,1199.6,100.4,3129.7,1123.4,-85.0,3069.4,1099.9,-106.0,3197.8,1190.6,-95.2,-420.5,-163.2,-88.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281.7,1308.6,298.8,3311.0,1327.5,138.6,3281.8,1327.0,-44.6,3232.8,1287.9,-82.3,3348.4,1377.4,-59.6,0,0,0,0,0,0,0,0,0,0,0,0,3326.8,1238.6,309.5,3237.2,1200.8,100.6,3129.8,1123.3,-85.0,3069.7,1099.7,-105.7,3197.8,1190.6,-95.3,-420.3,-163.3,-88.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282.9,1310.1,299.1,3313.2,1329.3,139.1,3292.0,1334.7,-41.7,3241.8,1294.6,-78.5,3362.1,1388.1,-52.6,0,0,0,0,0,0,0,0,0,0,0,0,3331.4,1242.5,310.5,3238.0,1201.6,100.7,3129.8,1123.3,-85.0,3069.7,1099.7,-105.7,3197.8,1190.6,-95.2,-420.2,-163.3,-88.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284.1,1311.5,299.5,3315.8,1331.3,139.8,3301.2,1341.5,-38.9,3251.8,1302.3,-73.9,3374.9,1398.1,-46.0,0,0,0,0,0,0,0,0,0,0,0,0,3335.7,1246.1,311.5,3238.5,1202.1,100.8,3129.9,1123.3,-84.9,3069.5,1099.8,-105.9,3197.9,1190.6,-95.2,-420.1,-163.4,-88.0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3285.5,1313.1,300.1,3318.9,1333.8,140.7,3309.9,1348.0,-35.9,3263.1,1311.3,-68.4,3386.7,1407.3,-39.8,0,0,0,0,0,0,0,0,0,0,0,0,3339.5,1249.4,312.3,3238.9,1202.5,101.0,3129.9,1123.3,-84.9,3069.1,1100.2,-106.4,3197.9,1190.6,-95.0,-420.1,-163.4,-87.9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3287.2,1314.8,300.7,3322.7,1336.8,141.8,3318.5,1354.4,-32.6,3275.6,1321.6,-62.3,3397.8,1415.7,-34.0,0,0,0,0,0,0,0,0,0,0,0,0,3343.1,1252.5,313.0,3239.5,1203.0,101.2,3129.9,1123.3,-84.9,3068.6,1100.5,-106.9,3197.9,1190.6,-94.9,-420.0,-163.5,-87.8,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3289.4,1316.7,301.4,3327.2,1340.4,143.1,3327.3,1360.9,-29.0,3289.0,1332.7,-55.9,3408.0,1423.5,-28.6,0,0,0,0,0,0,0,0,0,0,0,0,3346.5,1255.5,313.7,3240.2,1203.7,101.5,3129.9,1123.3,-84.9,3068.2,1100.8,-107.3,3197.9,1190.6,-94.6,-420.0,-163.5,-87.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292.1,1318.9,302.2,3332.4,1344.4,144.6,3336.5,1367.7,-25.1,3302.7,1344.0,-49.8,3417.7,1430.6,-23.6,0,0,0,0,0,0,0,0,0,0,0,0,3350.0,1258.5,314.4,3240.9,1204.5,101.7,3129.9,1123.3,-84.9,3068.0,1101.0,-107.5,3197.9,1190.7,-94.4,-420.1,-163.6,-87.5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3295.2,1321.4,303.1,3338.1,1348.9,146.1,3346.0,1374.9,-21.0,3315.9,1354.8,-44.1,3426.7,1437.2,-18.8,0,0,0,0,0,0,0,0,0,0,0,0,3353.6,1261.7,315.1,3241.5,1205.2,101.6,3129.9,1123.3,-84.9,3067.8,1101.1,-107.6,3197.9,1190.7,-94.1,-420.2,-163.8,-87.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298.6,1324.1,303.9,3344.1,1353.6,147.8,3355.7,1382.3,-16.8,3328.0,1364.7,-39.1,3435.3,1443.3,-14.4,0,0,0,0,0,0,0,0,0,0,0,0,3357.2,1264.8,315.7,3241.8,1205.8,101.2,3129.9,1123.3,-84.9,3067.8,1101.2,-107.5,3197.9,1190.7,-94.0,-420.4,-164.0,-87.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3302.2,1326.9,304.7,3350.3,1358.4,149.5,3365.4,1389.7,-12.6,3338.7,1373.4,-34.7,3443.7,1449.3,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,3360.6,1267.7,316.3,3241.8,1206.3,100.4,3129.8,1123.3,-84.9,3067.8,1101.2,-107.3,3197.9,1190.8,-93.8,-420.6,-164.2,-87.0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306.1,1329.9,305.5,3356.4,1363.2,151.2,3374.9,1397.0,-8.5,3348.3,1381.1,-30.9,3452.2,1455.3,-5.8,0,0,0,0,0,0,0,0,0,0,0,0,3363.6,1270.3,316.7,3241.5,1206.5,99.0,3129.8,1123.3,-84.9,3067.8,1101.2,-107.1,3197.9,1190.8,-93.8,-420.8,-164.4,-86.8,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3310.3,1333.3,306.1,3362.1,1367.7,152.8,3383.7,1403.9,-4.7,3357.0,1388.1,-27.5,3460.8,1461.4,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,3366.3,1272.5,316.9,3241.1,1206.5,97.3,3129.8,1123.3,-85.0,3067.8,1101.3,-106.9,3197.9,1190.8,-93.7,-421.0,-164.6,-86.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3314.7,1336.8,306.7,3367.4,1371.8,154.2,3391.7,1410.2,-1.4,3364.9,1394.4,-24.4,3469.1,1467.4,2.8,0,0,0,0,0,0,0,0,0,0,0,0,3368.4,1274.4,316.6,3240.5,1206.4,95.3,3129.7,1123.2,-85.0,3067.8,1101.3,-106.7,3197.9,1190.8,-93.7,-421.3,-164.9,-86.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3319.5,1340.5,307.4,3372.2,1375.4,155.4,3398.6,1415.6,1.5,3371.5,1399.7,-21.9,3476.8,1472.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,3370.1,1276.0,315.9,3239.9,1206.1,93.5,3129.6,1123.1,-85.1,3067.8,1101.3,-106.6,3197.9,1190.7,-93.7,-421.6,-165.1,-86.1,
