timestamps,x,y,z,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-08-06 10:25:51.400,-0.4857,0.7358,0.2226,0,0,31.6
2019-08-06 10:25:51.420,-0.5212,0.775,0.2464,0,0,31.6
2019-08-06 10:25:51.440,-0.5567,0.7789,0.2902,0,0,31.6
2019-08-06 10:25:51.460,-0.4778,0.7632,0.3578,0,0,31.6
2019-08-06 10:25:51.480,-0.5804,0.48100000000000004,0.2504,0,0,31.6
2019-08-06 10:25:51.500,-0.3909,0.5437,0.2862,0,0,31.6
2019-08-06 10:25:51.520,-0.4896,0.7789,0.2942,0,0,31.6
2019-08-06 10:25:51.540,-0.4738,0.775,0.3101,0,0,31.6
2019-08-06 10:25:51.560,-0.537,0.7828,0.3379,0,0,31.6
2019-08-06 10:25:51.580,-0.5607,0.7907,0.2942,0,0,31.6
2019-08-06 10:25:51.600,-0.5015,0.7593,0.326,0,0,31.6
2019-08-06 10:25:51.620,-0.5567,0.7867,0.3817,0,0,31.6
2019-08-06 10:25:51.640,-0.5883,0.7907,0.3817,0,0,31.6
2019-08-06 10:25:51.660,-0.5844,0.7671,0.2942,0,0,31.6
2019-08-06 10:25:51.680,-0.5054,0.7475,0.2942,0,0,31.6
2019-08-06 10:25:51.700,-0.3119,0.6025,0.3896,0,0,31.6
2019-08-06 10:25:51.720,-0.4383,0.6574,0.4294,0,0,31.6
2019-08-06 10:25:51.740,-0.6594,0.8651,0.2464,0,0,31.6
2019-08-06 10:25:51.760,-0.7424,0.9043,0.2504,0,0,31.6
2019-08-06 10:25:51.780,-0.5212,0.7867,0.155,0,0,31.6
2019-08-06 10:25:51.800,-0.541,0.8024,0.1947,0,0,31.6
2019-08-06 10:25:51.820,-0.5607,0.8181,0.2783,0,0,31.6
2019-08-06 10:25:51.840,-0.5725,0.8769,0.2703,0,0,31.6
2019-08-06 10:25:51.860,-0.3001,0.92,0.5686,0,0,31.6
2019-08-06 10:25:51.880,-0.1974,0.6848,0.2902,0,0,31.6
2019-08-06 10:25:51.900,-0.2724,0.7201,0.3618,0,0,31.6
2019-08-06 10:25:51.920,-0.4383,0.7671,0.1669,0,0,31.6
2019-08-06 10:25:51.940,-0.5291,0.7632,0.3021,0,0,31.6
2019-08-06 10:25:51.960,-0.4778,0.6613,0.2623,0,0,31.6
2019-08-06 10:25:51.980,-0.5489,0.8691,0.2146,0,0,31.6
2019-08-06 10:25:52.000,-0.5015,0.7632,0.2464,0,0,31.6
2019-08-06 10:25:52.020,-0.4501,0.9318,0.3976,0,0,31.6
2019-08-06 10:25:52.040,-0.3553,0.7044,0.3101,0,0,31.6
2019-08-06 10:25:52.060,-0.4778,0.7789,0.1947,0,0,31.6
2019-08-06 10:25:52.080,-0.5528,0.8416,0.2266,0,0,31.6
2019-08-06 10:25:52.100,-0.4896,0.7946,0.2623,0,0,31.6
2019-08-06 10:25:52.120,-0.5133,0.8612,0.2981,0,0,31.6
2019-08-06 10:25:52.140,-0.4185,0.8965,0.2027,0,0,31.6
2019-08-06 10:25:52.160,-0.5094,0.8338,0.2584,0,0,31.6
2019-08-06 10:25:52.180,-0.5094,0.8220000000000001,0.2106,0,0,31.6
2019-08-06 10:25:52.200,-0.5686,0.8338,0.151,0,0,31.6
2019-08-06 10:25:52.220,-0.6081,0.8220000000000001,0.159,0,0,31.6
2019-08-06 10:25:52.240,-0.4936,0.7632,0.1192,0,0,31.6
2019-08-06 10:25:52.260,-0.4896,0.9357,0.2584,0,0,31.6
2019-08-06 10:25:52.280,-0.4185,0.775,0.2703,0,0,31.6
2019-08-06 10:25:52.300,-0.4936,0.8259,0.2663,0,0,31.6
2019-08-06 10:25:52.320,-0.5173,0.7789,0.2106,0,0,31.6
2019-08-06 10:25:52.340,-0.4027,0.7828,0.2464,0,0,31.6
2019-08-06 10:25:52.360,-0.5528,0.8299,0.2743,0,0,31.6
2019-08-06 10:25:52.380,-0.5567,0.7867,0.2544,0,0,31.6
2019-08-06 10:25:52.400,-0.4343,0.7475,0.2623,0,0,31.6
2019-08-06 10:25:52.420,-0.4501,0.8142,0.3578,0,0,31.6
2019-08-06 10:25:52.440,-0.5765,0.7201,-0.012,0,0,31.6
2019-08-06 10:25:52.460,-0.3632,0.8338,0.5169,0,0,31.6
2019-08-06 10:25:52.480,-0.4027,0.8338,0.5407,0,0,31.6
2019-08-06 10:25:52.500,-0.3277,0.7044,0.4771,0,0,31.6
2019-08-06 10:25:52.520,-0.45799999999999996,0.8299,0.3896,0,0,31.6
2019-08-06 10:25:52.540,-0.5489,0.8259,0.4174,0,0,31.6
2019-08-06 10:25:52.560,-0.924,0.6535,0.0913,0,0,31.6
2019-08-06 10:25:52.580,-0.5646,0.7515,0.1828,0,0,31.6
2019-08-06 10:25:52.600,-0.3909,0.7162,0.5288,0,0,31.6
2019-08-06 10:25:52.620,-0.6199,0.7201,0.1987,0,0,31.6
2019-08-06 10:25:52.640,-0.5331,0.8573,0.5646,0,0,31.6
2019-08-06 10:25:52.660,-0.7384,0.7044,0.3936,0,0,31.6
2019-08-06 10:25:52.680,-0.3909,0.6848,0.4771,0,0,31.6
2019-08-06 10:25:52.700,-0.3159,0.6339,0.5606,0,0,31.6
2019-08-06 10:25:52.720,-0.3909,0.677,0.5208,0,0,31.6
2019-08-06 10:25:52.740,-0.45799999999999996,0.7279,0.5328,0,0,31.6
