bout_number,bout_length_sec,bout_start_time,IC,FC,gait_cycles,steps,stride_duration,stride_duration_asymmetry,step_duration,step_duration_asymmetry,cadence,initial_double_support,initial_double_support_asymmetry,terminal_double_support,terminal_double_support_asymmetry,double_support,double_support_asymmetry,single_limb_support,single_limb_support_asymmetry,stance,stance_asymmetry,swing,swing_asymmetry,step_length,step_length_asymmetry,stride_length,stride_length_asymmetry,gait_speed
1,9.000,2022-04-01 10:00:15,1648807216280,1648807217000,4,9,1.380,0.220,0.520,0.340,115.380,0.080,0.120,0.200,0.020,0.280,0.140,0.440,0.220,0.720,0.360,0.660,0.140,0.380,0.160,0.930,0.080,0.670
1,9.000,2022-04-01 10:00:15,1648807216800,1648807217880,4,9,1.600,0.120,0.860,0.120,69.770,0.200,0.020,0.220,0.080,0.420,0.060,0.660,0.140,1.080,0.200,0.520,0.080,0.550,0.250,0.850,0.150,0.530
1,9.000,2022-04-01 10:00:15,1648807217660,1648807218540,4,9,1.480,0.020,0.740,0.000,81.080,0.220,0.080,0.140,0.060,0.360,0.020,0.520,0.080,0.880,0.060,0.600,0.040,0.300,0.100,0.700,0.010,0.470
1,9.000,2022-04-01 10:00:15,1648807218400,1648807219340,4,9,1.500,0.180,0.740,0.020,81.080,0.140,0.060,0.200,0.000,0.340,0.060,0.600,0.040,0.940,0.020,0.560,0.160,0.400,0.090,0.700,0.090,0.470
