Â­¶¥µãx,Â­¶¥µãy,Â­¶¥µãz,µÚÆß¾±×µx,µÚÆß¾±×µy,µÚÆß¾±×µz,ÐØ¹ÇÏÂµãx,ÐØ¹ÇÏÂµãy,ÐØ¹ÇÏÂµãz,Æêµãx,Æêµãy,Æêµãz,³Ü¹Çµãx,³Ü¹Çµãy,³Ü¹Çµãz,×ó¼ç·åx,×ó¼ç·åy,×ó¼ç·åz,×óÖâx,×óÖây,×óÖâz,×óÍóx,×óÍóy,×óÍóz,×óÖÐÖ¸¼âx,×óÖÐÖ¸¼ây,×óÖÐÖ¸¼âz,×ó÷Åx,×ó÷Åy,×ó÷Åz,×óÏ¥x,×óÏ¥y,×óÏ¥z,×óõ×x,×óõ×y,×óõ×z,×ó×ã¸úx,×ó×ã¸úy,×ó×ã¸úz,×óÖº¼âx,×óÖº¼ây,×óÖº¼âz,ÓÒ¼ç·åx,ÓÒ¼ç·åy,ÓÒ¼ç·åz,ÓÒÖâx,ÓÒÖây,ÓÒÖâz,ÓÒÍóx,ÓÒÍóy,ÓÒÍóz,ÓÒÖÐÖ¸¼âx,ÓÒÖÐÖ¸¼ây,ÓÒÖÐÖ¸¼âz,ÓÒ÷Åx,ÓÒ÷Åy,ÓÒ÷Åz,ÓÒÏ¥x,ÓÒÏ¥y,ÓÒÏ¥z,ÓÒõ×x,ÓÒõ×y,ÓÒõ×z,ÓÒ×ã¸úx,ÓÒ×ã¸úy,ÓÒ×ã¸úz,ÓÒÖº¼âx,ÓÒÖº¼ây,ÓÒÖº¼âz,Á´Çòx,Á´Çòy,Á´Çòz,ÖØÐÄx,ÖØÐÄy,ÖØÐÄz
-269.79051598497676,-56.775584648710975,18.136963616098,-31.567422371580278,245.56548779047844,78.14176116041835,317.85376600744826,-24.31614938631128,78.387700518374,-561.2227821113322,-1058.4709941615897,-53.574432784097326,218.84287769183288,-176.65251715390653,179.4320687358777,-119.53199465000353,126.35256681491285,-163.4323073812766,-160.1584338361647,56.971148320513976,-494.86350119309463,-240.27263063935038,1018.7198084902604,-1152.0123042679302,-313.8692134086682,916.7539243422368,-890.0132376847296,-5.6065987631995995,-1208.4405205651447,170.5954556936092,-27.43852229107233,-110.60265487253389,90.14540645678153,-46.932004679712236,-1.9758383731314666,4.105890406263768,2.9337216470082694,-9.888374246364151,1.767610994290436,28.990706716518844,-36.73423662449977,140.07060716589973,-1.2273523694261712,-60.112146604461714,-27.27814963485571,15.436511929345897,-143.15699769971104,-182.4271548772913,-344.2542017224923,803.5145143517497,-460.9097441578797,-374.51126598114683,1672.686441237579,-563.3018364775012,-38.43460263316274,-869.2458706741049,130.30073900377488,-204.6541633324182,-242.75878898648955,-76.45750676934426,-60.71322082265169,2.455303047216262,17.838159515215324,-11.703442750865634,295.55569035616713,-39.65684600258834,0.0025677027906567673,-0.00022243135617827647,-0.0036136900972039143,621.7667184487254,3439.109668270538,-1148.1646459460421,-77.46088848546151,-369.7124384974728,19.750661906209643
-197.29975817676313,-206.00164008780166,-64.86400838627014,-65.27278021343955,248.78423777508078,35.7267649566129,315.7519596256716,-196.95067374659266,1.5166802639723755,-508.1754661273517,-936.0921591799906,-116.76377150306871,60.23294155530675,-297.61983731628607,133.28592615939124,-87.69235955009935,-22.022867223634876,-173.13484733166842,-162.65396293193044,-154.83572837049906,-530.3085513779952,-365.6539146825653,830.3511817186154,-1161.344095469307,-341.1465488694921,866.318005086523,-1024.5694764949585,121.65973412394305,-890.8656642827293,125.55613932543929,-67.2472969825576,-132.52129709050234,105.46995013440755,-45.18682947967682,0.43519768611986365,3.655588443952638,-0.05803335099335527,-1.3706161944719497,-1.1399394164177465,19.973211379168788,7.503900548696038,111.5741569687294,13.638422628999251,-26.613439458867106,-4.838688155141426,3.993097734026378,-90.15007099661943,-201.40896456912378,-374.85622717389015,589.7014639121371,-496.83254007330834,-574.0946823608137,1666.907745200695,-811.2580725207299,46.58877604398367,-760.3229770415155,55.0459816966104,-204.52375329798815,-262.0603838740153,-71.49480045593373,-32.79892762332747,2.5859881239266542,6.912164112778328,-9.043243349431577,267.84892935793323,-27.02650033328942,0.0012919551627419423,-0.00013609980669571087,-0.0019597805230660015,74.17049535866863,3529.8408414487167,-1406.8789187564944,-63.68264037042536,-360.60681674538546,-24.26918999573536
-46.43735995154202,-494.84632579447475,-222.05353589520382,-133.81431277744923,178.4808057747523,-69.34223880396894,281.96797205500843,-557.7264580048013,-169.4403694766661,-340.7923256679933,-704.5973673391991,-226.48967816997902,-236.69852379259464,-563.0723658430143,30.5800063402894,-28.14249864964222,-356.2512253275604,-190.05536290525924,-183.74962661258178,-598.77093104091,-605.5618622971306,-622.9645513486321,437.8461742238378,-1110.212989072912,-430.11294181688027,798.346206101447,-1291.5893114730789,411.59677675968123,-261.1311565229462,18.099267249734112,-146.30022390911108,-218.28826497748773,129.32440049726756,-37.6800963628375,3.249376956762717,2.7264752286441762,-4.544445547337091,13.10224168620789,-4.266196120894506,3.1055130514432676,85.34773036826664,46.38089345810471,38.5427081047892,58.95457467439792,30.691067818246665,-24.8232626941317,38.11676453387554,-235.95251637343972,-454.50105910849925,111.04561457413365,-588.6175563897559,-987.6553379893212,1599.4745256894166,-1268.3832960555483,262.11375084640895,-560.531474883891,-101.59236563770173,-179.29683351044878,-294.26164749664895,-60.965269463345976,13.955769796793902,-4.927753653437321,-18.40705569607053,-1.14901861988983,171.67989368768394,9.103304093916165,-0.0027371444048185367,0.0001894300767162349,0.003573102961922814,-1123.6522529799513,3807.604122531484,-1967.2906183417072,-20.877663034134457,-363.87864026271836,-118.1443918412333
53.91008382449945,-619.4160902480285,-288.8747752415802,-179.52901579359968,-41.32101230357284,-172.89181601371092,159.7177925897522,-792.5302029123777,-314.6289796839337,-104.32784600616287,-587.5984182553002,-251.94152285658492,-347.3393639414753,-766.0833414001052,-61.78021858291322,2.9926466789693222,-631.069079029425,-200.88951275779982,-212.9971924669626,-868.1568693756126,-673.161788277248,-802.1594045031015,158.84644079068494,-922.1578438737088,-586.1611989688627,762.514611008326,-1410.542308386921,672.28198739871,87.04459800269251,-89.2695975037168,-170.50482352678955,-398.93336809702794,127.42711845088525,-22.855931229198177,-1.9093280515398874,2.1952819704138165,-2.04221564859472,10.049225482647671,1.2239969503888233,-3.8756490777414,99.07593465054379,-11.323408259622198,45.043608304375084,125.33162496949353,7.268341723611229,-55.942022045885096,155.79536612667107,-247.41128696873784,-571.9603981312775,-194.66168017149175,-682.257485464801,-1257.6959058644443,1362.8164850487374,-1444.167722765902,488.1093811888095,-485.8715209027664,-210.14121953277572,-94.45321754046017,-301.05559284731135,-53.67871027752517,23.070729528211814,-26.327015676863084,-40.941275175161536,8.610147931725805,24.28866781414763,51.00716803027575,-0.005430130542663392,0.00047592130249540787,0.007674516366478201,-2123.444697228082,4211.922276944424,-2392.553271600813,37.88100221283821,-414.4208302361558,-188.17041402766336
45.965829351960565,-454.40949234906907,-214.47151656312053,-175.05473626258754,-267.20023809883924,-204.4757530547431,-66.2747177850797,-738.0870662563857,-362.6977667022802,59.74683926174839,-617.959866983967,-179.64788947492707,-192.1985557575681,-758.2319190781598,-104.99710752015017,-1.1849003586139588,-678.293649501365,-218.7791222286396,-190.45285477362268,-701.1031937329499,-731.5464370639784,-834.4387167006571,108.86208989253646,-712.5292275699649,-786.818067251781,585.0833812310811,-1233.9742442523202,780.8036866793336,-70.61096690732757,-142.90887731526163,-79.07854078231321,-649.8345789220771,108.9411322652686,-5.1716001800123195,-18.13916742926631,2.4667076520049704,8.025526465680741,-18.161409747289326,11.524119711835624,0.12175525641578133,31.699816451808147,-32.044936132674806,37.21741763276805,55.12059191806384,-112.5659088566972,-80.31086376813619,167.26445685013005,-226.6300803040067,-724.9181187315371,108.01004327140618,-708.4676106586558,-1204.6072185383564,908.5714080869093,-1221.7720615115795,573.2637713023651,-568.5434077802074,-212.23238114308333,24.540228156027297,-273.8806904507128,-52.48847926365852,-6.3475007086090045,-46.17297122920718,-45.782630825962315,12.428504034389334,-82.45638198275992,62.68556707112657,0.0005932470594416372,5.622499702440109e-05,-0.00020507089038801496,-2546.3926910481896,4553.750303328903,-2441.083604178868,73.12799362217993,-474.9082637465467,-196.22831639092692
-7.065063602152804,-162.7218065309787,-93.72931279723707,-117.29637826816179,-260.593464655185,-156.83356595101213,-302.9530974487607,-522.2692466884437,-329.78638453489475,57.2433369602586,-648.2663663547137,-110.15157618957164,-28.58134962666736,-557.5493047049889,-93.446123280748,-9.706761805056885,-557.6454289463327,-260.10203155640556,-108.35203573490799,-209.06345494063044,-793.009887588607,-803.094228690552,137.527766401201,-666.3924818961241,-978.3052357371726,142.07860058838742,-914.7075920489115,753.8647554281633,-450.831298424338,-127.81127806561562,65.9570912107556,-851.6538673224605,127.41685639503885,8.885687982532545,-41.141814950675325,3.5525829651182903,11.468147708132165,-37.163510743457664,5.9000585419819345,-3.48726921805428,-22.808152581797913,-23.24605973445614,36.28655377302857,-186.4001870366301,-254.4562819738385,-116.5106494138563,49.0359175984795,-199.93106396376606,-861.6717962928797,964.6547508356252,-652.8832118350001,-943.8507823303444,340.7323399397301,-889.4508409287191,461.0335792965416,-627.4294041887383,-146.31970444560284,96.76373029407841,-213.02394012427067,-49.9378122633625,-37.16108293880461,-44.3512453677904,-30.420307068753345,6.287381475773145,-74.80967699953544,28.228821586169204,0.012220952066854807,-0.0009659445859142579,-0.01665668486418781,-2712.3882777486797,4622.251434127855,-2257.803720392687,56.86172259956584,-469.56260899159224,-159.44760283580035
-3.3115462987916544,11.961893190042701,-38.83494152252388,-6.328378695001447,-18.148104588447495,-101.14953206844075,-392.79383767806576,-403.336319530792,-267.57433746368406,-20.701989906738163,-577.9641080627421,-115.4426435992973,-111.72413095026423,-336.3380028226453,-36.964876926900615,-1.0890756232220156,-460.21340802061457,-304.9445979523043,-63.28710617879551,244.47671384157456,-804.4672502279973,-766.6665756238654,85.87355238184318,-811.1234999674889,-1095.5930499078968,-314.9943128628329,-773.7608780248629,652.3551666659769,-670.7515419311135,-66.82612513915592,119.09742566035129,-856.8096303887822,207.7071328841448,14.742050596079935,-67.1368511585988,7.469384004233234,-6.954620544503996,7.981453376830359,-32.95707099290735,-22.161386169322213,21.05161655185111,-6.939415389774327,44.03384696954163,-452.81555396666954,-280.6122607531288,-190.93399517291255,-118.93350522662786,-192.4563173287861,-885.3216428421474,1695.6405066924144,-588.3325987208373,-720.6875437031267,-137.03043893950598,-733.2937341444594,265.1189712363994,-502.8568044806161,-71.04989344388378,82.7574102577455,-120.53765244082024,-42.28009833955002,-54.389428646514716,-26.026859059740673,-5.560851342202795,-3.573980551362183,5.130813865756863,-20.495015071413974,0.010602689209918026,-0.001059159909345908,-0.01574521929290995,-3046.2931784137436,4316.211229456334,-2148.98129166364,14.624741161405836,-386.9380729566765,-115.04685054033325
79.74577536823926,-11.475357817268787,-71.68973814948549,128.5665609161515,178.2045424273374,-108.8593083056112,-283.31373729278494,-497.8221591947222,-209.367988861326,5.027510604526469,-445.8587683172509,-167.38610621384578,-363.8483161662043,-288.39054327182,31.493086152833712,24.9091559806875,-474.4954407479679,-315.9911467226011,-128.3677131838922,386.6373638591467,-683.7608073685951,-672.8498684761798,-17.630597460854915,-1018.1200040193653,-1091.9908506040701,-393.20522838120087,-967.0939095404283,496.1360581900626,-626.5256841011642,-3.8949315551544714,18.89717355801986,-637.5139501389872,285.93962413963163,9.850353509413253,-97.65717234495787,18.841005616927305,-36.255690392692486,119.54800937205346,-90.98380537836351,-26.605240415130538,96.26836760722836,12.812862058468266,56.63526258409547,-536.7334561445532,-171.72685352542612,-279.0295827318805,-223.9543095192439,-191.79192048098048,-806.4885670103686,1631.1173052774702,-607.0823782439802,-682.36165721422,-371.758643748808,-786.8058737109859,168.6953446874577,-262.04957415114814,-16.563837743276963,40.66406266633203,-49.401080907704454,-43.86210516770916,-64.27882373008106,-14.244807007435156,13.258444510969866,-7.650601543296943,55.72089686108666,-38.69371356333107,-0.015904482588666724,0.0010422301329526817,0.02041968003771899,-3537.6756000738797,3687.892588720817,-2224.5248009460192,1.5657852790827747,-303.62317048736486,-89.92406927018601
168.42208702030985,-146.67753367137675,-138.15631918433064,211.9446315039968,92.62841912246404,-178.31993818182673,-114.28741326095042,-690.7411353891584,-174.03820592600096,180.4395566183848,-306.4797334197626,-202.74300077887165,-484.3235425441744,-446.3453764237304,56.76781930627112,61.17532801577181,-525.6401648742019,-294.70620386051087,-235.41563566115292,240.01354471517516,-463.5692496898155,-465.19532787080607,-58.08661863646557,-1157.1642569346695,-976.113127402712,-75.97227220537752,-1306.688222333516,329.2933167979936,-478.90719229955766,19.85644741102442,-124.69607212848496,-348.2534460774275,261.9793676022291,0.34830712379698525,-130.7221533510492,37.318329734979216,-37.914466732581786,211.28318733319156,-125.3139719481319,20.264332860569993,18.947797339977114,41.23089902178756,90.20250903523993,-396.6652763995471,-91.65172867763613,-299.8371309942995,-221.61614890342116,-161.3471126471013,-823.6486007566309,856.4079060607546,-718.6174137968519,-774.8454922881574,-355.6758543936194,-910.0787800931466,233.62907550624732,-131.44770423444425,-6.992078202118137,45.95959955186845,-89.11498106978979,-67.52280831966709,-61.34818625511252,-13.258911221808376,16.464980075164704,-4.26359659519585,38.833613654580404,-20.545197444743934,-0.03819075475985301,0.003284003458247753,0.053605852156920264,-3943.394669387717,2966.892109065997,-2338.835275929181,37.26915113049108,-292.6866478529423,-97.98147082757714
200.4437215726175,-295.04482631103656,-180.78248651992908,176.54870644742914,-188.7736599559871,-252.96863468016818,-62.18526175864827,-795.396099134135,-183.23764418694918,365.1782738391157,-138.86155009295317,-199.90310895776202,-319.0008802421762,-626.1751790207206,8.869683178676496,101.28692864760887,-528.0631288419318,-283.45193451223895,-262.10720425955515,4.89961870789557,-313.7356797223001,-213.9365191054967,-26.78125111852023,-1175.7457125307446,-842.9239965849993,234.6407704268404,-1463.7251864874925,282.2040138717166,-411.48681894126594,-3.4414560974801134,-160.60601030309772,-192.89888721179864,123.60530401146934,8.047490432720224,-149.8740071969405,47.888212127279076,9.63896687761735,186.73268017078954,-106.73710405566123,102.54421557069873,-264.49098199874425,61.411620983437935,145.779737042325,-204.09786154130506,-159.9623366535452,-204.37630763739435,-159.899433036544,-96.21614490855791,-1099.9932791803549,64.85628680269656,-827.6681960602618,-827.0749668213975,-201.71552687740405,-962.9413288757496,343.7726245545273,-230.5324959609634,-68.99021281812384,88.89290120420264,-232.95360056969548,-86.78529949980475,-38.021289361309755,-1.6908796846564655,6.1800469385295855,0.5948086050484562,-1.4489785229816334,3.5315899092118457,-0.0030032954055059236,0.0009560191829223186,0.008299345749776421,-4252.121331448527,2510.6242751680184,-2349.2505380686052,87.66743136094374,-338.2325814534506,-136.4926954804978
